Data Fields,Particulars,Where we get Information in Prospectus,Heading,Sub- Heading,Answer
Fund Name,Name of the fund,Financial Highlights,Notes to Financial statements,Note1 - Organisation,"The fund names are State Street Target Retirement 2055 Fund, State Street Target Retirement 2060 Fund, State Street Target Retirement 2065 Fund, State Street Target Retirement 2070 Fund, State Street Treasury Obligations Money Market Fund, and State Street U.S. Core Equity Fund."
Inception Date,The day when Fund becomes operational,Financial Highlights,Notes to Financial statements,Note1 - Organisation,"I am sorry, I cannot find the fund's inception date within the provided document content."
Benchmark,what will be the benchmark of the fund on the basis which performance would be calculated,Summary,Summary,Principal Risk of investing in the Trust,"The Target Retirement Funds seek to achieve their investment objective by investing in a combination of domestic and international mutual funds and exchange-traded funds sponsored by SSGA Funds Management, Inc. using an asset allocation strategy."
Investment Strategy,weather fund is going to be actively managed or going to replicate the index which is passive strategy,Summary,Summary,Principal Risk of investing in the Trust,The Target Retirement Funds seek to achieve their investment objective by investing in a combination of domestic and international mutual funds and exchange-traded funds using an asset allocation strategy.
Lot Size,The fund Issue and redeem units in large lot sizes /creation units,Purchases and redemptions of creation units,Purchases and redemptions of creation units,,The fund issues and redeems units in large lot sizes/creation units.
Distributor Name,Underwriter of units/maintains record of creation unit orders,Purchases and redemptions of creation units,Purchases and redemptions of creation units,,Underwriter is listed in the table of contents.
Transaction Fee,Fee payable in connection with each creation and redemption of units,Purchases and redemptions of creation units,Purchase(Creation),Creation transaction fee,"I am sorry, but I cannot answer the question based on the context you provided. There is no information about fees payable in connection with each creation and redemption of units."
Accounting Basis,which accounting principles will the auditor follow,Report of independent registered public accounting firm,Report of independent registered public accounting firm,Summary of Significant Accounting Policies,"The document does not contain the accounting principles that the auditor will follow; therefore, I am unable to answer this question."
Valuation Frequency,what is going to be frequency to determine the NAV of the fund,DETERMINATION OF NET ASSET VALUE,DETERMINATION OF NET ASSET VALUE,,The provided document excerpts do not contain the valuation frequency.
NAV Calculation Method,which price would be used to calculate the NAV of the fund,DETERMINATION OF NET ASSET VALUE,DETERMINATION OF NET ASSET VALUE,,This document excerpt does not contain the information needed to answer this question.
Expense Ratio / Management Fee,Different kinds expenses/fess bourne by the fund,In the summary section of the prospectus we will get this information,Summary,Fees and expenses of the trust,"I am sorry, I cannot answer the question because the summary section of the prospectus is not included in the document content provided."
Performance Fee Structure,Different kinds expenses/fess bourne by the fund,In the summary section of the prospectus we will get this information,Summary,Fees and expenses of the trust,"I am sorry, I cannot answer the question as the document provided does not have the summary section."
Dividend Policy,weather dividend earned from the fund's investments will be re-invested in the fund or will be distributed back to the investors,dividends and distributions,dividends and distributions,No dividend re-investment service,This document does not contain information on whether dividends earned from the fund's investments will be reinvested in the fund or distributed back to the investors.
Custodian / Trustee,who would safeguard the assets of the fund,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,"This document excerpt does not contain information on who would safeguard the assets of the fund; look in ""Federal Income Taxes""."
Fund Administrator,Authority who will be appointed as the fund Administrator,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,"This document does not contain the name of the Fund Administrator; it refers to ""Taxation of the Funds"" for information about the fund qualifying as a regulated investment company."
Auditor,Name of firm who will audit the financial statement of the fund,Report of independent registered public accounting firm,Report of independent registered public accounting firm,Basis of opinion,"I am unable to answer the question because the document does not contain the name of the firm who will audit the financial statement of the fund, and it lacks a ""Report of independent registered public accounting firm""."
Investment Objective,The risk and return objective of the fund .,In the summary section of the prospectus we will get this information,Summary,Investment Objective,"Each Target Retirement Fund seeks to achieve its investment objective by investing in a combination of domestic and international mutual funds and exchange-traded funds sponsored by SSGA Funds Management, Inc. or its affiliates using an asset allocation strategy."
